Date;Profile;Message;Likes & Co.;Comments;Shares;Total interactions;Profile-ID;Post-ID;Link;
28/06/2024 01:06;"Robert Reich";"Most Americans have no idea how radically destructive Trump’s plan for “governing” in a second term, known as “Project 2025,” actually is. Probably because the media hardly talks about it. Trump wasn't even questioned about it during tonight's debate. Hello?

Project 2025 is dangerous not the least because it dovetails perfectly with Trump’s own totalitarian vision for himself.

Under Project 2025, a second Trump term would begin by purging nonpartisan civil service workers like EPA scientists and IRS accountants and replacing them with unqualified Trump toadies. These are the rank-and-file government employees who prevented some of Trump’s greatest excesses last time around, like having the military shoot protesters or seizing voting machines to overturn the election. Next time, they’ll all be gone.

Project 2025 then aims to strip Americans of our most basic freedoms by banning abortion nationwide, rolling back LGBTQ rights, banning books, and quashing free speech.

And then to enforce these attacks on our rights even in blue states, Project 2025 lays out a plan to turn America into a MAGA police state by using the Justice Department to prosecute district attorneys Trump disagrees with, invoking the Insurrection Act to shut down protests, and mobilizing red state national guard units against blue states that resist his authoritarian agenda.

There’s so much more in Project 2025 that I can’t begin to cover it all. Drastic rollbacks of environmental and workplace protections. The mass deportation of 20 million immigrants. The shredding of the separation of church and state.

Be warned.";68019.0;2457.0;0.0;70476.0;5737039323;18043529146890378;https://www.instagram.com/p/C8vs__Ks2us/;
24/07/2024 13:25;"The Shade Room";"TSR STAFF: Jade Ashley Jade_Ashley94 
____________________________________
#TSRPolitics: Though it’s still early in Vice President #KamalaHarris’ presidential campaign, there have been record-breaking fundraising numbers as the support for her increases. However, members from the #Trump campaign have recently filed a Federal Election Commission (FEC) complaint to prevent funds from being transferred from #Biden’s campaign to Harris’ campaign. 
____________________________________
According to cnn, the complaint was filed on Tuesday by the Trump campaign’s general counsel, David Warrington, who argued that transferring the funds would lead to “little more than a thinly veiled $91.5 million excessive contribution from one presidential candidate to another.” 
____________________________________
In the complaint, which is against Biden, Harris, the Biden campaign, and campaign treasurer Keana Spencer, Warrington continued to state, “Kamala Harris is seeking to perpetrate a $91.5 million dollar heist of Joe Biden’s leftover campaign cash — a brazen money grab that would constitute the single largest excessive contribution and biggest violation in the history of the Federal Election Campaign Act of 1971, as amended.” 
____________________________________
Charles Kretchmer Lutvak, the spokesperson for Harris’ campaign, responded and said, “Republicans may be jealous that Democrats are energized to defeat Donald Trump and his MAGA allies, but baseless legal claims – like the ones they’ve made for years to try to suppress votes and steal elections – will only distract them while we sign up volunteers, talk to voters, and win this election.”
____________________________________
According to cbsnews, at least one FEC commissioner noted that if Harris became the nominee, legally, she would have access to the funds. When the Biden for President Committee filed its resignation with the FEC, the committee registered itself as the “principal campaign committee” for both Joe Biden and Kamala Harris. (📸: gettyimages)";53638.0;12009.0;0.0;65647.0;1497414823;18056536993588642;https://www.instagram.com/p/C9z-Q4wuBET/;
11/05/2024 19:22;"Donald J. Trump";"LIVE: President Trump in Wildwood, #NewJersey

Text TRUMP to 88022 to take the official Trump Supporter Survey.

Brand New MAGA Hats Released! Visit the Official Trump Store to claim the just released new MAGA Hats: https://www.donaldjtrump.com/store";36843.0;21008.0;5863.0;63714.0;153080620724;153080620724_442207448411062;https://www.facebook.com/486913032794522/videos/442207448411062;
24/04/2024 20:02;"Robert Reich";"The Supreme Court heard a case today that could determine whether or not doctors can provide emergency care—including abortions—to pregnant patients. The case stems from Idaho's draconian abortion ban in 2022, which currently carries steep criminal and civil penalties for medical providers. This is a direct result of the MAGA majority Trump appointed to the Supreme Court overturning Roe v. Wade. I’ve said it before, I’ll say it again: The right-wing agenda isn’t about “life.” It’s about control.";54434.0;1007.0;0.0;55441.0;5737039323;17883241727979736;https://www.instagram.com/p/C6KXQxpMo-8/;
20/02/2024 20:51;"Occupy Democrats";"BREAKING: Indicted 2024 Republican presidential candidate Donald Trump is hit with devastating news as the biggest and most influential newspaper in the entire state of Texas endorses President Biden and tears Donald Trump to pieces. 

But it gets even WORSE for Donald Trump…

The editorial board of The Houston Chronicle not only ripped into the MAGA cult leader, they laid out in plain black and white exactly why every American should vote for Joe Biden.

They write that Biden will 'make life better' for the American people, has made our economy 'healthier,' and will crucially prevent the 'chaos, corruption and danger to the nation' that would so clearly come from Trump getting a second term in the White House.

They state that the Biden administration has 'performed remarkably well, despite the rancor and divisiveness that have afflicted this nation for nearly a decade.'

The board concedes that Biden 'has his shortcomings' like every other president, but says that he has a historic number of achievements that serve as a 'potent reminder to his fellow Democrats, to independents and to those Republicans who have somehow resisted Trump's cultish appeal that the nation has a viable alternative.'

In addition to his massive economic victories, they praise Biden's effort to curtail gun violence, his introduction of a price cap on insulin, and his astonishing success at uniting the world against Putin's 'brutish' invasion of Ukraine.

When mentioning the situation along the southern border, the board writes that 'blame primarily belongs to caviling and cynical MAGA Republicans in the House.

'In servility to Trump, they torpedoed a bipartisan border-security plan painstakingly crafted in the Senate. Biden can't solve the crisis by executive order; he needs Congress to act,' the board writes.

At another point in the piece, the board easily dispatches the bad faith attacks on Biden's age, saying that he has 'forgotten more than his presumed Republican rival will ever know. That's not saying much, and at the same time, it says it all.'

Predictably, prominent MAGA figures are completely melting down over the editorial — because they know precisely how influential this newspaper is in Texas. Clearly, The Houston Chronicle has struck a nerve.

Please hit the 👍 and pass this on to thank the Houston Chronicle for endorsing Biden and blasting Trump — and consider joining the growing exodus to Tribel, a new pro-democracy social network that is exploding in popularity because Twitter and Facebook are trying to stop its growth — which is only making Tribel grow even faster. Please follow us on Tribel to get all of our breaking news alerts sent straight to your phone or computer by clicking the following link: tribel.app.link/okwPIHYCIqb";34611.0;3980.0;11850.0;50441.0;346937065399354;346937065399354_823489616549281;https://www.facebook.com/202017898696459/posts/823489616549281;
31/07/2024 23:00;"Fox News";"MAGA MOVES: Thousands of Americans gathered in Harrisburg, Pennsylvania to support former President Trump during his first rally in the state since he was shot earlier this month.";42811.0;5273.0;2183.0;50267.0;15704546335;15704546335_885122216810975;https://www.facebook.com/641849837804882/posts/885122216810975;
03/07/2024 14:14;"Robert Reich";"Everyone needs to know about this. 

Project 2025 is a playbook for Trump’s second term that would turn the U.S. into an authoritarian MAGA police state and shred our freedoms.

The leader of the right-wing think tank that wrote it is now threatening violence against anyone who resists it. 

Most Americans have no idea how radically destructive Trump’s plan for “governing” in a second term, known as “Project 2025,” actually is. Probably because the media hardly talks about it. Trump wasn't even questioned about it during last week's debate. Hello?

Project 2025 is dangerous not the least because it dovetails perfectly with Trump’s own totalitarian vision for himself.

Under Project 2025, a second Trump term would begin by purging nonpartisan civil service workers like EPA scientists and IRS accountants and replacing them with unqualified Trump toadies. These are the rank-and-file government employees who prevented some of Trump’s greatest excesses last time around, like having the military shoot protesters or seizing voting machines to overturn the election. Next time, they’ll all be gone.

Project 2025 then aims to strip Americans of our most basic freedoms by banning abortion nationwide, rolling back LGBTQ rights, banning books, and quashing free speech.

And then to enforce these attacks on our rights even in blue states, Project 2025 lays out a plan to turn America into a MAGA police state by using the Justice Department to prosecute district attorneys Trump disagrees with, invoking the Insurrection Act to shut down protests, and mobilizing red state national guard units against blue states that resist his authoritarian agenda.

There’s so much more in Project 2025 that I can’t begin to cover it all. Drastic rollbacks of environmental and workplace protections. The mass deportation of 20 million immigrants. The shredding of the separation of church and state.

Be warned.";45671.0;1989.0;0.0;47660.0;5737039323;18094688731442133;https://www.instagram.com/p/C89_K2Csj7O/;
16/04/2024 22:25;"Occupy Democrats";"CNN’s Bob Costas just called out Donald Trump and his MAGA cult members. 

Follow Occupy Democrats for more.";37717.0;2706.0;6699.0;47122.0;346937065399354;346937065399354_857310819833827;https://www.facebook.com/202017898696459/posts/857310819833827;
27/08/2024 08:23;"Occupy Democrats";"BREAKING: MAGA world gets hit with nightmare news as analysis reveals that Kamala Harris is favored to win the White House with a 55% chance — and she has dramatically boosted Democrats odds of winning the House and Senate.

And it gets even better...

According to Decision Desk HQ (DDHQ)/The Hill, Harris' 55% chance of winning the election is way up from Biden's 44% chance when he was still in the race.

Republicans remain favored to take back the Senate  thanks to quirks of the electoral map, but their odds have dropped from 78% to 67% — and that number will likely drop further as Harris' campaign picks up steam.

The House race is closer and the Republican odds have dropped from 61% to 57% since Biden stepped aside for Harris.

When Harris joined the presidential race she was behind Trump in the national polling average by 2 points. She now leads by roughly 4 points.

Crucially, Harris is leading in key battleground states. She has a 53% chance of winning Pennsylvania, 67% chance in Michigan, and 58% in Wisconsin.

Please hit the 👍 and pass this on if you are definitely voting for Kamala Harris to defeat MAGA fascism — and consider joining the growing exodus to Tribel, a new pro-democracy social network that is exploding in popularity because Twitter and Facebook are trying to stop its growth — which is only making Tribel grow even faster. Please follow us on Tribel to get all of our breaking news alerts sent straight to your phone or computer by clicking the following link: tribel.app.link/okwPIHYCIqb";35026.0;2845.0;2613.0;40484.0;346937065399354;346937065399354_947803957451179;https://www.facebook.com/202017898696459/posts/947803957451179;
14/03/2024 22:30;"Occupy Democrats";"BREAKING: California's star Democratic Governor Gavin Newsom obliterates MAGA Speaker Mike Johnson as a 'fraud' and masterfully exposes his lies as their public feud escalates.

Newsom is becoming MAGA's worst nightmare...

It all started with Newsom ripping into Republicans for pretending to care so much about the border while refusing to actually do anything about it.

'As @GOP screams 'BORDER CRISIS!'… Here’s what they are doing to help: NOTHING. Actually, worse than nothing,' Newsom wrote on X (Twitter). 

'Machines that could stop the flow of fentanyl across our border are now literally sitting in warehouses,' he went on. 'Unused. Not installed. All thanks to the fine leadership of @SpeakerJohnson, going above and beyond the call of Donald Trump.'

Johnson sprang to respond, hoping to muddy the waters and draw attention from the fact that Republicans are intentionally sabotaging bipartisan border legislation because Trump told them to. The ex-president is terrified that passing a border bill will help Biden. 

'Actually we’ve passed: - HR 2 - The Laken Riley Act - Bills to deter illegals from committing social security fraud, fleeing border patrol, or drunk driving. Much better than the Newsom approach of free health care, lodging & 'sanctuary to all who seek it,''  wrote Johnson.

His trap sprung, Newsom responded—

'Oops,' he wrote 'You left out that whole part about how you blocked $20 billion in funding for things like: - 1,500 new border agents. - 4,300 asylum officers. - New cutting edge tech to detect and stop the flow of fentanyl. You’re a fraud.'

Well said! At this point, you'd think that Republicans would have learned not to tussle with Newsom. They always come out looking worse for the wear.

Please hit the 👍 and pass this on if you love seeing Newsom dismantle Republicans — and consider joining the growing exodus to Tribel, a new pro-democracy social network that is exploding in popularity because Twitter and Facebook are trying to stop its growth — which is only making Tribel grow even faster. Please follow us on Tribel to get all of our breaking news alerts sent straight to your phone or computer by clicking the following link: tribel.app.link/okwPIHYCIqb";31346.0;3438.0;4843.0;39627.0;346937065399354;346937065399354_836742845223958;https://www.facebook.com/202017898696459/posts/836742845223958;
